Ethnicity,Citizen of Latvia,Non-citizen of Latvia,Alternative status of Latvia,Latvian stateless person,Latvian refugee,Temporary protection of Latvia,Other,Together,Year,Total_Population_Year,Percent_of_Year,Cluster_Category
ABAZ,2,3,0,0,0,0,1,6,2020,2083363,0.0003,Integrated Minorities
ABHAHAZ,11,14,0,0,0,0,8,33,2020,2083363,0.0016,Integrated Minorities
ADIGEAN,1,7,0,0,0,0,3,11,2020,2083363,0.0005,Integrated Minorities
AFGHAN,20,1,21,0,13,0,19,74,2020,2083363,0.0036,Integrated Minorities
AFRIKANDS,3,0,0,0,0,0,2,5,2020,2083363,0.0002,Integrated Minorities
AGULS,7,8,0,0,0,0,18,33,2020,2083363,0.0016,Integrated Minorities
ALBANON,1,0,0,0,0,0,15,16,2020,2083363,0.0008,Integrated Minorities
ALTAIC,0,3,0,0,0,0,1,4,2020,2083363,0.0002,Integrated Minorities
ALGERIAN,4,0,0,0,0,0,20,24,2020,2083363,0.0012,Integrated Minorities
AMERICAN,69,0,0,0,0,0,412,481,2020,2083363,0.0231,Integrated Minorities
ENGLISHMAN,78,1,0,0,0,0,760,839,2020,2083363,0.0403,Integrated Minorities
ARABIC,13,6,33,0,8,0,15,75,2020,2083363,0.0036,Integrated Minorities
ARGENTINE,3,0,0,0,0,0,17,20,2020,2083363,0.001,Integrated Minorities
ARMENIAN,1192,716,0,6,1,0,687,2602,2020,2083363,0.1249,Integrated Minorities
ASSYRIAN,5,2,1,0,0,0,7,15,2020,2083363,0.0007,Integrated Minorities
AUSTRALIAN,15,0,0,0,0,0,39,54,2020,2083363,0.0026,Integrated Minorities
AUSTRIAN,7,2,0,0,0,0,126,135,2020,2083363,0.0065,Integrated Minorities
CRASH,34,22,0,1,0,0,18,75,2020,2083363,0.0036,Integrated Minorities
AZERBAIJAN,628,673,1,2,6,0,824,2134,2020,2083363,0.1024,Integrated Minorities
BALKAR,0,2,0,0,0,0,6,8,2020,2083363,0.0004,Integrated Minorities
BELARUS,28455,29796,3,9,0,0,7052,65315,2020,2083363,3.1351,Integrated Minorities
BASHKIR,73,89,0,0,0,0,68,230,2020,2083363,0.011,Integrated Minorities
BALOCHISTAN,0,0,0,0,0,0,2,2,2020,2083363,0.0001,Integrated Minorities
BENGAL,0,0,2,0,0,0,12,14,2020,2083363,0.0007,Integrated Minorities
BENINIETIS,3,1,0,0,0,0,2,6,2020,2083363,0.0003,Integrated Minorities
BOLIVIAN,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
BOSNIAN,1,0,0,0,0,0,4,5,2020,2083363,0.0002,Integrated Minorities
BRAZILIAN,5,0,0,0,0,0,74,79,2020,2083363,0.0038,Integrated Minorities
BULGARIAN,173,117,0,0,0,0,804,1094,2020,2083363,0.0525,Integrated Minorities
BURYAT,17,12,0,0,0,0,5,34,2020,2083363,0.0016,Integrated Minorities
CAHURS,3,2,0,1,0,0,3,9,2020,2083363,0.0004,Integrated Minorities
ANOTHER,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
CHECHEN,81,33,2,1,0,0,68,185,2020,2083363,0.0089,Integrated Minorities
CZECH REPUBLIC,56,9,0,0,0,0,162,227,2020,2083363,0.0109,Integrated Minorities
CHURCHES,7,5,0,0,0,0,4,16,2020,2083363,0.0008,Integrated Minorities
GYPSY,6312,309,0,8,2,0,47,6678,2020,2083363,0.3205,Integrated Minorities
GYPSY (ROM),206,0,0,2,0,0,6,214,2020,2083363,0.0103,Integrated Minorities
CHILEAN,1,0,0,0,0,0,8,9,2020,2083363,0.0004,Integrated Minorities
CHUKCH,0,2,0,0,0,0,0,2,2020,2083363,0.0001,Integrated Minorities
CHUVASH,131,298,0,0,0,0,147,576,2020,2083363,0.0276,Integrated Minorities
DARGINS,16,6,0,0,0,0,3,25,2020,2083363,0.0012,Integrated Minorities
DANE,37,0,0,0,0,0,339,376,2020,2083363,0.018,Integrated Minorities
DUNGANS,0,0,0,0,0,0,2,2,2020,2083363,0.0001,Integrated Minorities
JEW,5718,1829,0,2,2,0,594,8145,2020,2083363,0.391,Integrated Minorities
ECUADORIAN,0,0,0,0,0,0,5,5,2020,2083363,0.0002,Integrated Minorities
EVENKS,2,1,0,0,0,0,0,3,2020,2083363,0.0001,Integrated Minorities
EVENS,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
EGYPTIAN,9,0,0,0,5,0,152,166,2020,2083363,0.008,Integrated Minorities
FARCE,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
FLEMISH,1,0,0,0,0,0,13,14,2020,2083363,0.0007,Integrated Minorities
FRENCHMAN,50,0,0,0,0,0,675,725,2020,2083363,0.0348,Integrated Minorities
GAGAUZ,37,37,0,0,0,0,17,91,2020,2083363,0.0044,Integrated Minorities
GREEK,190,70,0,1,0,0,112,373,2020,2083363,0.0179,Integrated Minorities
GEORGIA,517,306,0,2,1,0,441,1267,2020,2083363,0.0608,Integrated Minorities
HAKASIAN,1,2,0,0,0,0,5,8,2020,2083363,0.0004,Integrated Minorities
HANTS,0,4,0,0,0,0,1,5,2020,2083363,0.0002,Integrated Minorities
HINDUSTAN,0,0,0,0,0,0,2,2,2020,2083363,0.0001,Integrated Minorities
DUTCHMAN,19,3,0,0,0,0,176,198,2020,2083363,0.0095,Integrated Minorities
CROATIA,7,5,0,0,0,0,51,63,2020,2083363,0.003,Integrated Minorities
HUTU,0,0,0,0,0,0,1,1,2020,2083363,0.0,Integrated Minorities
ESTONIAN,1204,283,0,2,0,0,634,2123,2020,2083363,0.1019,Integrated Minorities
INDIAN,18,0,0,0,0,0,2399,2417,2020,2083363,0.116,Integrated Minorities
INGUSH,9,10,0,0,0,0,16,35,2020,2083363,0.0017,Integrated Minorities
IRAQI,3,0,6,0,11,0,54,74,2020,2083363,0.0036,Integrated Minorities
IRAN,3,1,9,1,11,0,55,80,2020,2083363,0.0038,Integrated Minorities
ICELANDIC,5,0,0,0,0,0,43,48,2020,2083363,0.0023,Integrated Minorities
ITALIAN,102,1,0,0,0,0,722,825,2020,2083363,0.0396,Integrated Minorities
IZOR,0,1,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
IRISH,18,0,0,0,0,0,95,113,2020,2083363,0.0054,Integrated Minorities
YAKUTS,10,11,0,0,0,0,16,37,2020,2083363,0.0018,Integrated Minorities
JAPAN,3,0,0,0,0,0,37,40,2020,2083363,0.0019,Integrated Minorities
NEW ZEALANDER,1,0,0,0,0,0,19,20,2020,2083363,0.001,Integrated Minorities
YEZID,1,1,0,0,0,0,2,4,2020,2083363,0.0002,Integrated Minorities
KABARD,10,10,0,0,0,0,5,25,2020,2083363,0.0012,Integrated Minorities
CALMISH,9,7,0,0,0,0,24,40,2020,2083363,0.0019,Integrated Minorities
CANUCK,10,0,0,0,0,0,85,95,2020,2083363,0.0046,Integrated Minorities
KARAČAYAN,4,4,0,0,0,0,2,10,2020,2083363,0.0005,Integrated Minorities
CHARITY,3,1,0,0,0,0,0,4,2020,2083363,0.0002,Integrated Minorities
KARAKALPAKS,0,0,0,0,0,0,6,6,2020,2083363,0.0003,Integrated Minorities
KAREL,68,87,0,0,0,0,31,186,2020,2083363,0.0089,Integrated Minorities
KAZAKHS,89,80,3,0,1,0,430,603,2020,2083363,0.0289,Integrated Minorities
KYRGYZ,6,7,0,1,2,0,52,68,2020,2083363,0.0033,Integrated Minorities
COLOMBIAN,4,0,0,0,0,0,16,20,2020,2083363,0.001,Integrated Minorities
COMET,62,103,0,0,0,0,42,207,2020,2083363,0.0099,Integrated Minorities
KOMIET PERMIETIS,17,20,0,0,0,0,8,45,2020,2083363,0.0022,Integrated Minorities
KOREAN,85,47,0,0,0,0,136,268,2020,2083363,0.0129,Integrated Minorities
CORYAC,0,1,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
COSTA RICAN,1,0,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
RUSSIAN,343482,141939,7,96,47,0,44370,529941,2020,2083363,25.4368,Large Historical Minority
CRIMEAN TATAR,3,0,0,0,0,0,3,6,2020,2083363,0.0003,Integrated Minorities
KRIMCHAK,1,1,0,0,0,0,1,3,2020,2083363,0.0001,Integrated Minorities
CUBAN,16,1,0,0,0,0,24,41,2020,2083363,0.002,Integrated Minorities
COMIC,8,15,0,0,0,0,10,33,2020,2083363,0.0016,Integrated Minorities
KURDISH,4,0,80,0,13,0,10,107,2020,2083363,0.0051,Integrated Minorities
CHINESE,7,3,0,0,0,0,902,912,2020,2083363,0.0438,Integrated Minorities
LAX,19,22,0,0,0,0,6,47,2020,2083363,0.0023,Integrated Minorities
LAOTIAN,1,0,0,0,0,0,0,1,2020,2083363,0.0,Integrated Minorities
LATVIAN,1257133,492,0,1,0,0,1143,1258769,2020,2083363,60.4201,Latvians
LAZS,5,0,0,0,0,0,0,5,2020,2083363,0.0002,Integrated Minorities
LEZGIN,77,119,0,1,0,0,71,268,2020,2083363,0.0129,Integrated Minorities
LEBANESE,29,3,0,0,5,0,56,93,2020,2083363,0.0045,Integrated Minorities
LITHUANIAN,16669,5228,0,1,0,0,3409,25307,2020,2083363,1.2147,Integrated Minorities
LIVONIAN,156,0,0,0,0,0,0,156,2020,2083363,0.0075,Integrated Minorities
LIVONIAN (LIV),10,0,0,0,0,0,0,10,2020,2083363,0.0005,Integrated Minorities
LIBYAN ARAB,0,0,0,0,0,0,2,2,2020,2083363,0.0001,Integrated Minorities
LUXEMBOURGISH,0,0,0,0,0,0,5,5,2020,2083363,0.0002,Integrated Minorities
MACEDONIAN,3,0,0,0,0,0,13,16,2020,2083363,0.0008,Integrated Minorities
MALAYSIAN,1,0,0,0,0,0,6,7,2020,2083363,0.0003,Integrated Minorities
MALTESE,1,0,0,0,0,0,8,9,2020,2083363,0.0004,Integrated Minorities
MARIETIS,62,117,0,0,0,0,51,230,2020,2083363,0.011,Integrated Minorities
MOROCCAN,0,0,0,0,0,0,23,23,2020,2083363,0.0011,Integrated Minorities
MEXICAN,6,0,0,0,0,0,33,39,2020,2083363,0.0019,Integrated Minorities
MONTENEGRIN,3,1,0,0,0,0,0,4,2020,2083363,0.0002,Integrated Minorities
MOLDAVIA,671,719,0,2,0,0,445,1837,2020,2083363,0.0882,Integrated Minorities
MONGOLIAN,2,0,0,0,0,0,10,12,2020,2083363,0.0006,Integrated Minorities
MORTAR SITE,126,226,0,0,0,0,106,458,2020,2083363,0.022,Integrated Minorities
NAGAIBAK,2,0,0,0,0,0,1,3,2020,2083363,0.0001,Integrated Minorities
UNSELECTED,46783,810,43,6,3,0,530,48175,2020,2083363,2.3124,Integrated Minorities
NEPALIAN,1,0,0,0,0,0,63,64,2020,2083363,0.0031,Integrated Minorities
UNKNOWN,1729,64,14,2,6,0,5263,7078,2020,2083363,0.3397,Integrated Minorities
NIGERIAN,1,0,0,0,0,0,33,34,2020,2083363,0.0016,Integrated Minorities
